URL_Length,Dots_Count,Suspicious_TLD,Hyphen_Count,Subdir_Count,Domain_Length,IP_Present,Double_Slash_Count,URL_Shortening_Service,Count_SubDomain (Domain_Tokens),Count_Queries,Count_At_Symbol,Presence of %20,digit/letter,special_characters
58.0,1.0,0.0,3.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
159.0,2.0,0.0,1.0,5.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1297709923664122,6.0
30.0,2.0,0.0,1.0,0.0,23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19.0,1.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,1.0
99.0,2.0,0.0,0.0,5.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0875,7.0
21.0,2.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
39.0,1.0,0.0,0.0,3.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
22.0,2.0,0.0,1.0,0.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45.0,2.0,0.0,0.0,2.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1875,3.0
66.0,3.0,0.0,0.0,4.0,22.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
234.0,2.0,0.0,1.0,4.0,20.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.5034965034965035,6.0
211.0,3.0,0.0,0.0,2.0,23.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.49230769230769234,3.0
28.0,2.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.0,2.0,0.0,1.0,0.0,27.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32.0,2.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56.0,4.0,0.0,0.0,5.0,16.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0
20.0,2.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21.0,2.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24.0,2.0,0.0,1.0,0.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.0,2.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.11538461538461539,0.0
35.0,2.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51.0,2.0,0.0,1.0,5.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
27.0,3.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35.0,2.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30.0,2.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23.0,1.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,2.0,0.0,1.0,4.0,21.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
149.0,4.0,0.0,1.0,1.0,15.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.1016949152542373,1.0
43.0,3.0,0.0,0.0,2.0,19.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.13333333333333333,3.0
29.0,1.0,0.0,0.0,1.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41.0,2.0,0.0,0.0,2.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
